DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2,Score,R,S,U,Total,catalogue
RIF,0.25,0.9,0.9595155246252677,0.9839284055368036,0.9747023502465799,0.9426730655446717,0.9843919162757128,0.9698767540229909,47,26,394,467,catomatic_v3.4.0_all_samples
INH,0.2,0.9,0.9462923900697712,0.9850168649032487,0.9611454470539761,0.9263514586752792,0.9857687249182208,0.9608803439166553,86,25,729,840,catomatic_v3.4.0_all_samples
MXF,0.25,0.9,0.9416870084079197,0.9373323705384774,0.9381988208985567,0.9108079748163693,0.9415387576384545,0.9396829795452144,12,34,621,667,catomatic_v3.4.0_all_samples
LEV,0.25,0.9,0.91943684004693,0.9734877734877735,0.9337713534822601,0.8844996237772762,0.975402006049992,0.938519022766249,12,24,404,440,catomatic_v3.4.0_all_samples
STM,0.15,0.9,0.9534804173080212,0.9091596559221098,0.9143843242039634,0.9031265187105135,0.9184971588499703,0.9323649702714362,135,12,628,775,catomatic_v3.4.0_all_samples
EMB,0.2,0.9,0.9430916933351885,0.8975535168195719,0.9129534676584579,0.8967980947340566,0.9073360209516523,0.9234025952451573,23,47,1174,1244,catomatic_v3.4.0_all_samples
PZA,0.05,0.9,0.875632975491189,0.9667617565698479,0.9756377285049003,0.8668538199318228,0.967671417160634,0.922972560417529,554,1,170,725,catomatic_v3.4.0_all_samples
AMI,0.05,0.9,0.8777472527472527,0.9842340369624245,0.9260438258809595,0.8561857972309067,0.9854703959317108,0.9193526026385456,10,8,480,498,catomatic_v3.4.0_all_samples
KAN,0.2,0.9,0.8248831355627472,0.9772270596115205,0.96021968801251,0.8106007067137809,0.9781948779340716,0.8976536232673318,9,18,489,516,catomatic_v3.4.0_all_samples
CAP,0.05,0.9,0.8249496981891348,0.977598385469223,0.9296351028759805,0.793036750483559,0.9792432836751231,0.8916813853105303,63,4,317,384,catomatic_v3.4.0_all_samples
ETH,0.1,0.9,0.8879518072289156,0.9004632981033734,0.8858442767035467,0.7482233502538072,0.9107258797558758,0.8912837483861792,166,5,640,811,catomatic_v3.4.0_all_samples
BDQ,0.05,0.9,0.7925133689839572,0.9845910138248848,0.9538610038610038,0.754582484725051,0.985300178595961,0.8824061894116448,152,5,213,370,catomatic_v3.4.0_all_samples
CIP,0.25,0.9,0.7272727272727273,0.9534883720930233,0.05357142857142857,0.04878048780487805,0.9976303317535545,0.6603971609785563,2,2,9,13,catomatic_v3.4.0_all_samples
LZD,0.05,0.95,0.30116959064327486,0.997680565294784,0.9914929370372315,0.30029154518950435,0.9977005347593583,0.6481875523175189,2,1,49,52,catomatic_v3.4.0_all_samples
DLM,0.05,0.9,0.325,0.9989814107461167,0.599954856669927,0.20418848167539266,0.9993893129770992,0.5821853945578204,23,2,134,159,catomatic_v3.4.0_all_samples
CFZ,0.05,0.9,0.17714285714285713,0.9913491382156772,0.9596961901261791,0.16696588868940754,0.9916925613545564,0.5779154080613675,48,5,249,302,catomatic_v3.4.0_all_samples
